account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
202984325,None,None,{'estimate': 2235},54,2072,None
1232094007,None,None,{'estimate': 2235},None,None,None
992327405,None,None,{'estimate': 2235},None,None,None
1170923497,None,2440,{'estimate': 2235},80,None,None
162724090,None,None,{'estimate': 2235},64,None,None
1252616081,None,None,{'estimate': 2627},None,None,None
1247011173,None,None,{'estimate': 2638},None,None,None
1049956230,None,None,{'estimate': 2653},80,None,None
56981677,None,None,{'estimate': 2627},None,None,None
1190298611,None,None,{'estimate': 2627},None,None,None
173480523,6520,122,{'estimate': 6286},80,6367,None
331999484,5166,55,{'estimate': 6960},80,8576,None
128367019,5486,66,{'estimate': 6455},80,7186,None
343797829,4606,137,{'estimate': 6213},80,5739,None
122255316,5369,249,{'estimate': 6468},80,7418,None
170558809,5324,437,{'estimate': 5621},80,6924,None
78008698,None,None,{'estimate': 5353},75,None,None
247018516,2777,1061,{'estimate': 5335},80,1635,None
378571266,None,2678,{'estimate': 5414},80,None,None
209165399,None,1866,{'estimate': 5460},80,None,None
57578110,None,225,{'estimate': 6696},80,6353,None
72393079,5224,143,{'estimate': 6452},80,7048,None
368917218,None,67,{'estimate': 6106},80,None,None
90324740,None,314,{'estimate': 6385},80,7357,None
404150207,1571,209,{'estimate': 6363},80,7117,None
169808301,4649,99,{'estimate': 6031},80,5753,1655447353
106278629,5916,198,{'estimate': 6229},80,7036,None
904131336,None,30,{'estimate': 6175},80,None,1653409312
241884166,3402,166,{'estimate': 6222},80,5666,None
92487440,4867,393,{'estimate': 6366},80,7226,None
85312703,5325,612,{'estimate': 6111},80,6398,None
119315361,4389,22,{'estimate': 6172},80,6762,None
133167741,3507,87,{'estimate': 5397},80,3567,None
126174633,5165,239,{'estimate': 5887},80,6066,None
35504297,6075,64,{'estimate': 6300},80,8058,None
202464276,4094,40,{'estimate': 4987},80,3140,None
1131665504,None,37,{'estimate': 5833},80,None,None
194521913,None,99,{'estimate': 5782},80,6912,None
156331087,4963,229,{'estimate': 5793},80,6708,None
207916561,4971,171,{'estimate': 5876},80,6429,None
904131336,None,30,{'estimate': 6175},80,None,1653409312
106278629,5916,198,{'estimate': 6229},80,7036,None
169808301,4649,99,{'estimate': 6031},80,5753,1655447353
241884166,3402,166,{'estimate': 6222},80,5666,None
92487440,4867,393,{'estimate': 6366},80,7226,None
57578110,None,225,{'estimate': 6696},80,6353,None
72393079,5224,143,{'estimate': 6452},80,7048,None
368917218,None,67,{'estimate': 6106},80,None,None
404150207,1571,209,{'estimate': 6363},80,7117,None
90324740,None,314,{'estimate': 6385},80,7357,None
339941742,3869,2574,{'estimate': 4332},80,5057,None
